BLOCK,TIMESTAMP,TX_HASH,SOURCE,PARAMETER,ILK,FROM_VALUE,TO_VALUE,SOURCE_TYPE
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,FLIPPER.beg,ETH-B,0,0.05,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,JUG.ilks.duty,ETH-B,0,0.06,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,SPOTTER.ilks.mat,ETH-B,0,1.3,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,CAT.ilks.dunk,ETH-B,0,50000,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,CAT.ilks.chop,ETH-B,0,0.13,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,VAT.ilks.dust,ETH-B,0,100,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,VAT.ilks.line,ETH-B,0,20000000,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,FLIPPER.tau,ETH-B,172800,21600,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,FLIPPER.ttl,ETH-B,0,10800,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,FLIPPER.ttl,ETH-B,10800,21600,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,FLIPPER.beg,ETH-B,0.05,0.03,DssSpell
11086830,2020-10-19 14:00:52,0x95c2e3708d50ab82c1e25fa86eb99cca50813a9268b6f7a6401e3f7fb0b217a9,0x96f6cd23fd450d30a12ea0d14fcecc8ae8b4bc25,FLIPPER.tau,ETH-B,0,172800,DssSpell
11243176,2020-11-12 14:00:10,0x7e7d76b9eb9df95c9bc8a3daf67bd664e46f77dcf1caf52cb4f7e5812d3f5b64,0x268c4bb57f18b04a7380e3eeeecaec377c31c850,JUG.ilks.duty,ETH-B,0.06,0.04,DssSpell
