"TX_HASH","BLOCK_NUMBER","BLOCK_TIMESTAMP","FROM_ADDRESS","ILK","VAULT_NUMBER"
"0xe45744e5f417401390e4b8fa23562d5a491852ca75b93c677c27d504fd04d37d","11088554","2020-10-19T20:04:20Z","0x26461f402d93e0fda44a78f68b0921b7d832cd0d","ETH-B","15967"
"0x1c049ca5f6870e0b571885ff3e5ec557225d8f14686ea8f07cf066cc01a40890","11092485","2020-10-20T10:35:04Z","0x6d0984e80a86f26c0dd564ca0cf74a8e9da03305","ETH-B","15978"
"0x4d621d8fc2ab2db01171a909a28589de604963f839437e31d7c6d9e4b45f1e11","11094792","2020-10-20T19:03:17Z","0x04a130d6d98adcf719c6041b77317e1c7fcfe363","ETH-B","15987"
"0x8e867eae282bc77fe5aadd656a46ada3f0e579c12cad8c68757bf670b2a79211","11097215","2020-10-21T04:01:42Z","0x6d0984e80a86f26c0dd564ca0cf74a8e9da03305","ETH-B","16005"
"0x71f13b1488e533a907e2bab48bc7f30d82fbd97eb38a123d374896bb5c58bab0","11097251","2020-10-21T04:10:17Z","0xc120b985d8d1faa110f64a658b3c04abe78b1a50","ETH-B","16006"
"0xfe6ff8cf04158b5123a24abc7a0177d603509a42396dac2756218fa506237608","11100891","2020-10-21T17:32:14Z","0xaba1de026f0856a72d030579143a629670aaa4ea","ETH-B","16028"
"0x1a4a66ae4a20630654afc60dee375ca9b40ca6c2e64d402c9bf822d66cafa882","11101279","2020-10-21T19:02:14Z","0x6d0984e80a86f26c0dd564ca0cf74a8e9da03305","ETH-B","16030"
"0x87214d421b74469b76797dc54794a66d73005f71fac23607e1aa7c67d62518ff","11102396","2020-10-21T23:06:32Z","0xcf4e5bacf88117030281c0d8fd32e1493b73db62","ETH-B","16037"
"0x05e3378a951624a60da91c70093a03e223f7cce7b50657d88c082fa3e71350e1","11106688","2020-10-22T15:02:42Z","0x782ed59a56a6a36e79d34820345faa233d75ba63","ETH-B","16065"
"0xe2b4f830472fae74a031391e6eadafba3580116280a9df9bdb3d89fd338e5ade","11107597","2020-10-22T18:18:36Z","0x6d0984e80a86f26c0dd564ca0cf74a8e9da03305","ETH-B","16067"
"0x91daa8367da7390c3e71fa30009f97a1653c8d83dc683a6ca221efb6ef8abf96","11108029","2020-10-22T19:47:40Z","0xb531b47f311458faf5f703b3a3fcf5ed260a72fb","ETH-B","16073"
"0x9fd4e71ab8ad456dbec8eb1d1490d7cc2cbe353be9981869f42cf02640563d7c","11117766","2020-10-24T07:42:00Z","0x25d38c668f01e23fdc5195e08a96afca770428c9","ETH-B","16123"
"0xcbf9bf18746757ae5a23768cfda3c1510cefe258d8c18e37e9cf104a3369d9c7","11120567","2020-10-24T18:00:49Z","0x5a5f6998cfe5d9a318e5df0b57dfe0702e4dc249","ETH-B","16136"
"0x1aa7bdb6ec7ff5aee68f2c991299ceb35b621bfef4378c23744b1cd4f6aaafe7","11128343","2020-10-25T22:35:11Z","0x23ea0b70f2611e3d3f1a6b2f33dd428499b2c5cc","ETH-B","16175"
"0xb2f129094bd2c0715d0c95c318ecc16e4315705998d5de3d06f1c8cd88180bc4","11128698","2020-10-25T23:56:45Z","0x511c9c8c92944045c17ac77361319e052b1bf7a3","ETH-B","16177"
"0x69956934ccef1593829200f70c5acbf879acd1f2a0661ee9771718693fabfcd4","11128761","2020-10-26T00:10:26Z","0x489c8403a9717f8df57afb642f11879010235add","ETH-B","16179"
"0x13645de6474e23c49b98b3adf3ca2166f0c8cf68ca85577e4470f0fec9dfc281","11129006","2020-10-26T01:04:35Z","0x61cb3b149aef4920a4419361849043a0c3a5ca62","ETH-B","16180"
"0x76040d0b6e4183d9c8af7ab75bf6febc44322616b2ab49a5b73b982848f385c3","11139825","2020-10-27T16:51:01Z","0xd442f04f748862e211425993a76d6eafe184110a","ETH-B","16245"
"0xd841e4a10a4967e6a5533399e83e9ad2c9730fbe0f62d5466ca12d4459c1af7b","11140878","2020-10-27T20:45:34Z","0x6d0984e80a86f26c0dd564ca0cf74a8e9da03305","ETH-B","16254"
"0x6b9b34a1ed980764f137412645c052013c9be5840984cf05ad03a3c8f0cdde35","11141281","2020-10-27T22:18:20Z","0x240d60b589f1477c1924ba5b18b36f9624a0d7b1","ETH-B","16258"
"0x4a4d2399028b18f1d9775bfdf6d603facde5c4b2f94283462f7e190450748d7d","11142411","2020-10-28T02:29:18Z","0xcec1a2be43b9b2728456b6a572dadfc2e951c81c","ETH-B","16264"
"0x6b0a9bc40ff6ad3e985e82b4107898f3be43d8f28240643bfe6b69ad1edcbbb2","11146942","2020-10-28T19:01:36Z","0x6fa2241c3930d88ad59828d00e88e517f6ab8e61","ETH-B","16288"
"0x3ca58f3ae2c7a98c5488b36bc0b26b0725c30c916246da1aeb8d144802abe8ad","11151505","2020-10-29T11:50:26Z","0xa4b29591931ec3a93c21940e0f47694f20795498","ETH-B","16310"
"0x871a25e09d12729739cbc1ca90f02ceb1040bd7dbef07a58a47e1929b0fa0f09","11152474","2020-10-29T15:28:08Z","0x31fe780a41acdac0763ab2a3959f3758ad1199bf","ETH-B","16317"
