"day","dai_minted","dai_repaid","sum_dai","dai_delta","dai_outstanding","TO_VALUE","implied_revenue","price","RSI","rsi_status"
2020-10-19,102.54,0,102.54,0,0,0.06,0,378.0493653,55.9212713238943,"in-between"
2020-10-20,17331.688200752,0,0,17331.688200752,17331.688200752,0.06,2.84904463574005,379.6394773,56.6115165797913,"in-between"
2020-10-21,206345.97501375,73061.8172718,0,133284.15774195,150615.845942702,0.06,24.7587691960606,368.2270142,50.499333287281,"in-between"
2020-10-22,125811.862385713,0,0,125811.862385713,276427.708328415,0.06,45.4401712320682,391.1667422,59.8767155094363,"in-between"
2020-10-23,3700,0,0,3700,280127.708328415,0.06,46.0483904101504,413.2018903,66.4511778272489,"in-between"
2020-10-24,325,225.011782037,0,99.988217963,280227.696546378,0.06,46.0648268295416,408.8894886,64.232933210927,"in-between"
2020-10-25,10142,28173.242943651,0,-18031.242943651,262196.453602727,0.06,43.100786893599,411.9592178,65.125378890031,"in-between"
2020-10-26,550,0,0,550,262746.453602727,0.06,43.1911978525031,406.1570941,61.9775958379987,"in-between"
2020-10-27,21233.772467046,572.146211781,0,20661.626255265,283408.079857992,0.06,46.5876295656973,393.3829084,55.605224793133,"in-between"
2020-10-28,10665.07885318,208.005018136,0,10457.073835044,293865.153693036,0.06,48.3066006070744,403.5298378,59.1942293598341,"in-between"
2020-10-29,6570,1070,0,5500,299365.153693036,0.06,49.2107101961155,388.8773399,52.5834462615778,"in-between"
2020-10-30,132055.586230396,383.572388518,131.001258103,131541.012583775,430906.166276811,0.06,70.833890346873,386.446013,51.5545840999959,"in-between"
2020-10-31,0,116528.114047368,0,-116528.114047368,314378.052229443,0.06,51.6785839281276,382.900771,50.0177756568806,"in-between"
2020-11-01,11010,9000.300810394,0,2009.699189606,316387.751419049,0.06,52.0089454387478,385.8445888,51.3155303791944,"in-between"
2020-11-02,140799.67003283,0,0,140799.67003283,457187.421451879,0.06,75.1540966770212,394.936342,55.1855773706238,"in-between"
2020-11-03,61165.682107118,12819.42161641,0,48346.260490708,505533.681942587,0.06,83.1014271686444,383.8498034,49.9692847400347,"in-between"
2020-11-04,17700.356322773,375.997877961,0,17324.358444812,522858.040387399,0.06,85.9492669129971,387.6163737,51.6416927324514,"in-between"
2020-11-05,36177.567798132,0,0,36177.567798132,559035.608185531,0.06,91.8962643592654,401.7330968,57.39057830428,"in-between"
2020-11-06,380775.156136414,1400,0,379375.156136414,938410.764321945,0.06,154.259303724155,415.9277704,62.2502095620346,"in-between"
2020-11-07,85166.07888034,15885.092507137,0,69280.986373203,1007691.75069515,0.06,165.64795901838,454.6515431,71.7244707719233,"Overbought"
2020-11-08,78427.846482313,1500,0,76927.846482313,1084619.59717746,0.06,178.293632412733,435.4183541,63.2355853339931,"in-between"
2020-11-09,62766.505072728,6965.526956592,0,55800.978116136,1140420.5752936,0.06,187.466395938673,455.358367,67.5266864207131,"in-between"
2020-11-10,80569.361731828,55570.981221016,0,24998.380510812,1165418.95580441,0.06,191.575718762369,445.0512933,63.4069219256905,"in-between"
2020-11-11,132865.283352742,51228.963512057,0,81636.319840685,1247055.27564509,0.06,204.995387777276,449.8161845,64.4856286193833,"in-between"
2020-11-12,30614.410458138,4968.695438011,0,25645.715020127,1272700.99066522,0.04,139.474081168791,463.1808717,67.3893465479508,"in-between"
2020-11-13,39650.393936471,79763.984727182,0,-40113.590790711,1232587.39987451,0.04,135.078071219124,462.2056196,66.9591144832393,"in-between"
2020-11-14,62162.3293573,0,0,62162.3293573,1294749.72923181,0.04,141.890381285678,475.9690937,69.8815197550833,"in-between"
2020-11-15,80209.98318997,464168.164821402,0,-383958.181631432,910791.547600378,0.04,99.8127723397674,462.7183971,64.0114686835613,"in-between"
2020-11-16,843635.735052853,784.046841909,0,842851.688210944,1753643.23581132,0.04,192.180080636857,449.2068016,58.605534223855,"in-between"
2020-11-17,132780.978515493,27978.098686777,0,104802.879828716,1858446.11564004,0.04,203.665327741374,461.3711967,61.738419261721,"in-between"
