BLOCK_NUMBER,BLOCK_TIMESTAMP,VAULT_NUMBER,ILK,URN_ADDRESS
11128343,2020-10-25 22:35:11.000,16175,ETH-B,0xefb52b3c270c20bf180ca51393dac604c4851580
11301731,2020-11-21 13:25:09.000,17131,ETH-B,0xd6e6a39858448e9c67b3b3627a416a70892d489f
11350172,2020-11-28 23:55:40.000,17514,ETH-B,0xd347da6b49879eff52b11fd081dd30aaa36e0e05
11284539,2020-11-18 22:11:28.000,17016,ETH-B,0xcba09f5e1bcb0d3f271e85709024d4d8c4de9543
11234807,2020-11-11 06:55:19.000,16754,ETH-B,0xc834072b11203d3b0fea454d2a73143eeb95a7aa
11314088,2020-11-23 11:01:28.000,17240,ETH-B,0x3586860685b6721a6ee5d1583a1a3650f0ad564d
11212845,2020-11-07 21:54:51.000,16624,ETH-B,0x50772dd1cdf9a3273a9942fc6432dc20f672c6ea
11309389,2020-11-22 17:31:17.000,17215,ETH-B,0xdefca22700548c91362907db051adb485475a3b0
11206408,2020-11-06 22:05:45.000,16599,ETH-B,0xfc2dee67d55bbb52c781542325095f833a05e7c5
11218981,2020-11-08 20:35:18.000,16674,ETH-B,0x1a3ce0e37371251be120a915c584330a511e6a31
11332377,2020-11-26 06:24:41.000,17404,ETH-B,0xb0957ae521c3e06760f7e85ac1630f8f0b7ed859
11201035,2020-11-06 02:29:15.000,16560,ETH-B,0xb671bc618f725d6fcef35177a1e5a01b849b4e23
11353821,2020-11-29 13:06:43.000,17530,ETH-B,0xc3c17cc33bb263371f552536b92e5c793e37cb2a
11129006,2020-10-26 01:04:35.000,16180,ETH-B,0x890bfe79713d8ae947d43a34cf542ef90f84c927
11286442,2020-11-19 05:10:43.000,17029,ETH-B,0xb3f8be2b1d5fd32145d19e8b17219abb849360fc
11265418,2020-11-15 23:23:12.000,16917,ETH-B,0x83f03816122b595ebaaad4811614dbc449351371
11417631,2020-12-09 08:39:38.000,17853,ETH-B,0x55510eacb94021663f1ec29ac8fb4f83bfc8793c
11183363,2020-11-03 09:24:20.000,16472,ETH-B,0x5c230a655dc80c146c07a8154ef3766bd4a6d56e
11306973,2020-11-22 08:42:43.000,17188,ETH-B,0xe82c9a1846eb9ab0be74425769e058585728dadb
11128698,2020-10-25 23:56:45.000,16177,ETH-B,0x625e58d15e2f976d565274709e863224a968e541
11418529,2020-12-09 12:02:27.000,17859,ETH-B,0x1abaa69af5b403d7ea1624308f4766620b25a923
11302305,2020-11-21 15:33:36.000,17135,ETH-B,0x07562a3ce50b9874ed3e274344cacd43e4a3aca6
11183348,2020-11-03 09:21:32.000,16471,ETH-B,0x51ce6c59a160e433dfa8be1a2735d1f2fa06710c
11269756,2020-11-16 15:44:54.000,16935,ETH-B,0x269f802a7cb81c895353e203db8f31260507faa8
11298297,2020-11-21 00:49:42.000,17107,ETH-B,0x9f0ce2b95fc3c0df27a1e48a1f39cf1981c7ea24
11106688,2020-10-22 15:02:42.000,16065,ETH-B,0xddf5ce5426339da95ca08ca55d7ff292bc6612ed
11311246,2020-11-23 00:21:59.000,17229,ETH-B,0x0cdd31db72918ddd51245912989890beefd4c271
11233235,2020-11-11 01:08:21.000,16748,ETH-B,0x6d2c16e7c6c543e7b9480eadd3ce64cb7fa7c80d
11146942,2020-10-28 19:01:36.000,16288,ETH-B,0x35f9e0e89c2779618500a2736c6d6b897b824532
11393318,2020-12-05 15:01:10.000,17732,ETH-B,0xce9c26b636a859bb4b5262a59afada3bcd9404ee
11340888,2020-11-27 13:45:29.000,17471,ETH-B,0xf0cedb714f257d9a298d03270f4f2af0c0000eb0
11330518,2020-11-25 23:35:06.000,17394,ETH-B,0x345715bb2a0f1bd079ade437abbd9dd520067a82
11295503,2020-11-20 14:19:47.000,17087,ETH-B,0xb582ec184869b41d4e2e65bc9a02dc29b35b97a6
11128761,2020-10-26 00:10:26.000,16179,ETH-B,0x34477f55710e8a44f531a0903ed4e5ec728cff6a
11363063,2020-11-30 23:15:03.000,17597,ETH-B,0x11cbb3b4b2f1a9251fc19d019850aa78d5209d47
11389149,2020-12-04 23:39:56.000,17710,ETH-B,0xbb82ae5c7cd159eb71b577021d0e9246896ab829
11204190,2020-11-06 13:57:59.000,16586,ETH-B,0xc126a8cc5b9ebb3bc894e953c38376961bca0eca
11302221,2020-11-21 15:13:52.000,17134,ETH-B,0x39a6d93ef57b4cfcd8865e2ed86fdc61c16bfce6
11275692,2020-11-17 13:22:25.000,16967,ETH-B,0x752d6c6323b1428871a038c9ec789c9b6ea0484c
11202213,2020-11-06 06:43:11.000,16567,ETH-B,0x28352faa3c1637473179865d36a205b64d3de392
11341523,2020-11-27 16:09:36.000,17476,ETH-B,0x3077be3c29040edb419a34076996457a913123e4
11107597,2020-10-22 18:18:36.000,16067,ETH-B,0xe5463cf1a59d036cf4d98303ea4cf3927b46566c
11268114,2020-11-16 09:37:15.000,16928,ETH-B,0x26641b6e5f6720829f3747abdc3ca0f4c202b559
11333465,2020-11-26 10:33:16.000,17411,ETH-B,0x36bacd3e28ef1a353420c4db61de21d236778a97
11290656,2020-11-19 20:32:41.000,17060,ETH-B,0x8f82cae8e791c82cf002251d531c83b7be1a2edc
