BLOCK_NUMBER,BLOCK_TIMESTAMP,VAULT_NUMBER,COLLATERAL_LIQUIDATED_AMOUNT,DAI_REPAYED_AMOUNT
12490991,2021-05-23 14:07:14.000,23997,38,60050.55780709
12525660,2021-05-28 23:00:24.000,23962,96,179830.463698247
12465537,2021-05-19 15:06:22.000,23614,867,1738360.21086031
12459368,2021-05-18 16:06:09.000,23865,18,46730.35511452
14051737,2022-01-21 23:02:01.000,26877,3134,6328872.45940086
14051919,2022-01-21 23:43:36.000,26877,878,1772827.84750867
12684447,2021-06-22 14:07:01.000,24266,24,33389.569227494
13300478,2021-09-26 09:00:31.000,24714,359,772407.35514987
14689770,2022-05-01 04:13:51.000,24714,79,168555.731140749
13738501,2021-12-04 07:25:31.000,25973,77,233506.510777435
14755244,2022-05-11 14:00:00.000,24696,159,274126.895314952
14955140,2022-06-13 09:00:00.000,24188,41,42355.312820382
14759408,2022-05-12 06:00:06.000,27932,141,207609.640352675
14955378,2022-06-13 10:00:24.000,27396,50,49156.004541118
14945149,2022-06-11 16:00:11.000,28536,76,90047.62692369
14955140,2022-06-13 09:00:00.000,28313,151,149416.90556476
12327814,2021-04-28 08:28:06.000,21348,22,44247.787610619
12327885,2021-04-28 08:39:43.000,21348,22,44247.787610619
12327834,2021-04-28 08:31:50.000,21348,22,44247.787610619
12327909,2021-04-28 08:46:23.000,21348,22,44247.787610619
12327922,2021-04-28 08:47:52.000,21348,22,44247.787610619
12327858,2021-04-28 08:35:44.000,21348,22,44247.787610619
12327886,2021-04-28 08:40:16.000,21348,22,44247.787610619
12327853,2021-04-28 08:34:52.000,21348,22,44247.787610619
12327857,2021-04-28 08:35:36.000,21348,22,44247.787610619
12327973,2021-04-28 08:58:17.000,21348,22,44247.787610619
12327833,2021-04-28 08:31:34.000,21348,22,44247.787610619
12327877,2021-04-28 08:38:51.000,21348,22,44247.787610619
12327932,2021-04-28 08:49:26.000,21348,22,44247.787610619
12327833,2021-04-28 08:31:34.000,21348,22,44247.787610619
12327883,2021-04-28 08:39:30.000,21348,22,44247.787610619
12327787,2021-04-28 08:20:45.000,21348,22,44247.787610619
12327861,2021-04-28 08:36:06.000,21348,22,44247.787610619
12327849,2021-04-28 08:34:14.000,21348,22,44247.787610619
12327849,2021-04-28 08:34:14.000,21348,22,44247.787610619
